0.960000,0.000000,209.749916,0.101861,0.004987,0.985000,0.000000,132.791836,0.094930,0.000000,0.955000,0.000000,137.331961,0.145580,0.013169
0.960000,0.000000,196.352193,0.100983,0.016719,0.980000,0.000000,126.664766,0.094396,0.000000,0.955000,0.000000,158.335988,0.152694,0.003722
0.960000,0.000000,197.011361,0.099644,0.007307,0.985000,0.000000,132.791836,0.094930,0.000000,0.955000,0.000000,147.814718,0.145580,0.013037
0.960000,0.000000,209.749916,0.101861,0.016925,0.980000,0.000000,126.664766,0.094396,0.000000,0.955000,0.000000,44.540754,0.111319,0.013169
0.960000,0.000000,195.421636,0.098787,0.007307,0.980000,0.000000,126.664766,0.094202,0.000000,0.960000,0.000000,179.485333,0.165239,0.000000
0.960000,0.000000,198.887584,0.100966,0.004987,0.980000,0.000000,126.664766,0.094202,0.000000,0.955000,0.000000,147.814718,0.145580,0.013169
0.960000,0.000000,221.087945,0.107722,0.004989,0.985000,0.000000,132.791836,0.094396,0.000000,0.955000,0.000000,137.331961,0.144835,0.051149
0.960000,0.000000,293.107606,0.122018,0.004960,0.980000,0.000000,126.664766,0.094636,0.000000,0.960000,0.000000,36.785864,0.109753,0.011909
0.960000,0.000000,209.749916,0.102442,0.004989,0.980000,0.000000,126.664766,0.094202,0.000000,0.955000,0.000000,137.331961,0.144835,0.051149
0.960000,0.000000,200.894467,0.101909,0.016925,0.985000,0.000000,132.791836,0.094930,0.000376,0.950000,0.000000,44.540754,0.110142,0.013169
0.960000,0.000000,215.752983,0.101909,0.004987,0.980000,0.000000,126.664766,0.094396,0.000000,0.955000,0.000000,137.331961,0.145580,0.013169
0.960000,0.000000,288.950272,0.122018,0.004960,0.980000,0.000000,126.664766,0.094202,0.000000,0.955000,0.000000,26.636211,0.098600,0.013037
0.960000,0.000000,209.749916,0.100983,0.004987,0.985000,0.000000,132.791836,0.094396,0.000000,0.955000,0.000000,137.331961,0.145580,0.013169
0.960000,0.000000,267.033803,0.113795,0.004926,0.980000,0.000000,126.664766,0.094202,0.000000,0.960000,0.000000,28.413113,0.102332,0.017675
0.960000,0.000000,177.182475,0.100195,0.007255,0.985000,0.000000,132.791836,0.094396,0.000000,0.955000,0.000000,179.706430,0.164882,0.003722
0.960000,0.000000,189.689407,0.100017,0.007256,0.985000,0.000000,132.791836,0.094930,0.000000,0.960000,0.000000,189.626150,0.171301,0.000000
0.960000,0.000000,265.482658,0.109942,0.004960,0.985000,0.000000,132.791836,0.094930,0.000000,0.960000,0.000000,36.785864,0.109715,0.013037
