0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.10,0.11,0.11,0.12,0.13,0.16
0.11,0.12,0.12,0.13,0.14,0.14,0.15,0.16,0.17,0.19,0.19,0.20,0.21,0.23,0.23,0.24,0.27,0.29,0.29,0.32
0.11,0.12,0.13,0.15,0.16,0.17,0.19,0.20,0.22,0.25,0.26,0.27,0.28,0.29,0.29,0.31,0.33,0.36,0.36,0.38
0.11,0.12,0.13,0.15,0.15,0.17,0.19,0.22,0.24,0.27,0.29,0.32,0.34,0.35,0.37,0.39,0.41,0.44,0.46,0.47
0.11,0.12,0.14,0.16,0.17,0.19,0.22,0.25,0.26,0.27,0.30,0.32,0.35,0.38,0.39,0.41,0.44,0.46,0.48,0.51
0.10,0.11,0.12,0.12,0.13,0.16,0.17,0.18,0.21,0.23,0.25,0.29,0.31,0.35,0.38,0.42,0.46,0.48,0.52,0.55
0.10,0.10,0.12,0.16,0.17,0.19,0.21,0.22,0.23,0.24,0.27,0.31,0.34,0.37,0.40,0.42,0.45,0.49,0.52,0.56
0.09,0.11,0.15,0.18,0.21,0.22,0.26,0.30,0.31,0.36,0.37,0.40,0.46,0.50,0.51,0.55,0.58,0.63,0.67,0.72
0.09,0.13,0.17,0.22,0.22,0.26,0.28,0.30,0.35,0.37,0.41,0.45,0.49,0.50,0.56,0.62,0.67,0.72,0.78,0.81
0.09,0.12,0.15,0.18,0.19,0.22,0.23,0.24,0.29,0.32,0.33,0.36,0.38,0.45,0.49,0.51,0.54,0.56,0.62,0.67
0.09,0.12,0.13,0.17,0.20,0.26,0.30,0.31,0.32,0.35,0.36,0.40,0.44,0.50,0.52,0.59,0.63,0.70,0.71,0.76
0.08,0.10,0.10,0.15,0.19,0.24,0.29,0.36,0.37,0.40,0.46,0.49,0.55,0.61,0.63,0.68,0.71,0.78,0.80,0.82
0.08,0.10,0.13,0.18,0.20,0.25,0.26,0.33,0.35,0.42,0.48,0.49,0.53,0.54,0.58,0.61,0.62,0.68,0.75,0.82
0.08,0.11,0.17,0.19,0.25,0.29,0.31,0.32,0.36,0.40,0.42,0.49,0.52,0.58,0.61,0.63,0.69,0.76,0.81,0.83
0.07,0.07,0.08,0.11,0.18,0.24,0.26,0.34,0.40,0.42,0.46,0.51,0.56,0.63,0.70,0.79,0.81,0.87,0.91,0.98
0.05,0.12,0.13,0.20,0.25,0.31,0.38,0.46,0.49,0.57,0.60,0.64,0.70,0.78,0.82,0.86,0.92,0.90,0.95,0.99
0.04,0.08,0.16,0.23,0.26,0.28,0.31,0.33,0.43,0.52,0.60,0.61,0.63,0.68,0.77,0.86,0.94,0.90,0.95,0.99
0.02,0.10,0.11,0.17,0.24,0.28,0.34,0.42,0.49,0.54,0.55,0.65,0.67,0.71,0.71,0.80,0.94,0.90,0.96,0.99
0.02,0.04,0.10,0.13,0.21,0.22,0.27,0.37,0.40,0.42,0.46,0.51,0.54,0.63,0.64,0.81,0.94,0.89,0.95,0.99
0.00,0.07,0.11,0.20,0.25,0.30,0.31,0.41,0.51,0.61,0.70,0.73,0.83,0.88,0.86,0.87,0.95,0.89,0.95,0.99
